Movie,Intense
Antichrist,1
The Fountain,0
The Core,0
The People vs Larry Flynt,1
Farinelli,0
The Conversation,1
Eyes Wide Shut,1
Apocalypse Now,1
Requiem for a Dream,1
There Will Be Blood,1
Annihilation,1
The Princess Bride,0
The Mask of Zorro,0
The King's Speech,1
Train to Busan,1
her,1
The Evil Dead,1
Gangs of New York,1
The Departed,1
Goodfellas,1
Cape Fear,1
Stranger Than Fiction,1
Jojo Rabbit,0
Elizabeth,1
Enemy,1
The Interview (1998),1
Age of Innocene,0
Gone Girl,1
Nightcrawler,1
El Mariachi,0
Safety Not Guaranteed,0
Chef,0
Predestination,0
Gravity,1
Doctor Sleep,1
One Flew Over the Cuckoo's Nest,1
Butch cassidy and the sundance kid,1
the girl w the dragon tattoo,1
little miss sunshine,0
eternal sunshine of the spotless mind,1
doom,0
only lovers left alive,1
once upon a time in mexico,1
frost/nixon,1
beginners,0
the good the bad and the ugly,1
snake eyes,1
the odd couple,0
desparado,1
shaun of the dead,0
young frankenstein,0
snatch ,1
